fecha,valor,ano
2013-04-28,135.98,2013
2013-10-01,134.63,2013
2014-04-01,495.34,2014
2014-10-01,391.38,2014
2015-04-01,247.54,2015
2015-10-01,238.44,2015
2016-04-01,418.17,2016
2016-10-01,615.24,2016
2017-04-01,1091.72,2017
2017-10-01,4403.74,2017
2018-04-01,7060.95,2018
2018-10-01,6608.02,2018
2019-04-28,4145.1,2019
2019-10-01,8302.73,2019
2020-04-01,6638.54,2020
2020-10-01,10620.38,2020
2021-04-01,54728.54,2021
2021-10-01,48146.44,2021
2022-04-01,46297.17,2022
2022-10-01,19311.24,2022
2023-04-01,28456.72,2023
2023-10-01,27974.74,2023
2024-04-01,69694.72,2024
